micronutrient,biomarker,population_group,sex,age_min_years,age_max_years,pregnancy,fasting,cutoff_type,cutoff_value,unit,source,source_type,notes
iron,serum_ferritin,children_6_59_months,all,0.5,5.0,na,unknown,deficiency,12.0,µg/L,WHO ferritin guideline,WHO,<12 µg/L WHO cutoff for depleted iron stores in young children
iron,serum_ferritin,nonpregnant_adults,all,15.0,,nonpregnant,unknown,deficiency,15.0,µg/L,WHO ferritin guideline,WHO,<15 µg/L WHO cutoff for depleted iron stores in adults
iron,body_iron_calculated,general,all,,,na,unknown,deficiency,0.0,mg/kg,Cook et al.; WHO background docs,research_consensus,<0 mg/kg body iron (negative stores) indicates deficiency
iron,transferrin_saturation,adults,all,18.0,,na,unknown,deficiency,20.0,%,Hematology / nephrology guidelines,clinical_consensus,<20% TSAT commonly used for iron deficiency
folate,plasma_or_serum_folate,adults,all,18.0,,na,unknown,deficiency,7.0,nmol/L,CDC / research,research_consensus,<7 nmol/L associated with risk of megaloblastic anemia
folate,RBC_folate,adults,all,18.0,,na,unknown,deficiency,305.0,nmol/L,WHO RBC folate guideline background,WHO_research,<305 nmol/L used as deficiency threshold
folate,RBC_folate,women_reproductive_age,female,15.0,49.0,nonpregnant,unknown,ntd_insufficient,748.0,nmol/L,WHO blood folate guideline,WHO,<748 nmol/L associated with increased neural tube defect risk
folate,RBC_folate,women_reproductive_age,female,15.0,49.0,nonpregnant,unknown,ntd_optimal,906.0,nmol/L,WHO blood folate guideline,WHO,>=906 nmol/L recommended at population level to minimize NTD risk
homocysteine_related,plasma_homocysteine,adults,all,18.0,,na,unknown,high_mild,15.0,µmol/L,Clinical guidelines,clinical_consensus,>15 µmol/L commonly used as elevated homocysteine
homocysteine_related,plasma_homocysteine,adults,all,18.0,,na,unknown,high_moderate,30.0,µmol/L,Clinical guidelines,clinical_consensus,30–100 µmol/L often classified as moderate hyperhomocysteinemia
homocysteine_related,plasma_homocysteine,adults,all,18.0,,na,unknown,high_severe,100.0,µmol/L,Clinical guidelines,clinical_consensus,>100 µmol/L often classified as severe hyperhomocysteinemia
iron_related_anemia,hemoglobin,children_6_59_months,all,0.5,5.0,na,unknown,anemia,11.0,g/dL,WHO anemia guideline,WHO,<11.0 g/dL anemia cutoff for children 6–59 months
iron_related_anemia,hemoglobin,pregnant_women,female,15.0,,pregnant,unknown,anemia,11.0,g/dL,WHO anemia guideline,WHO,<11.0 g/dL anemia cutoff for pregnant women
iron_related_anemia,hemoglobin,nonpregnant_women,female,15.0,,nonpregnant,unknown,anemia,12.0,g/dL,WHO anemia guideline,WHO,<12.0 g/dL anemia cutoff for non-pregnant women
iron_related_anemia,hemoglobin,men_15plus,male,15.0,,na,unknown,anemia,13.0,g/dL,WHO anemia guideline,WHO,<13.0 g/dL anemia cutoff for men >=15 years
iron_related_anemia,MCV,adults,all,18.0,,na,unknown,microcytosis,80.0,fL,Hematology references,clinical_consensus,<80 fL used for microcytic anemia
iron_related_anemia,MCV,adults,all,18.0,,na,unknown,macrocytosis,100.0,fL,Hematology references,clinical_consensus,>100 fL used for macrocytic anemia
